"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas",1,,,,,,,,,,,,,0.819577758386659,0.818610129564193,0.841909062270293,0.842696629213483,0.833629893238434,0.836972343522562,0.813450969244098,0.805270863836018,0.828970331588133,0.82145536384096,0.828970331588133,0.842696629213483,0.853018372703412,0.87804884369396,0.829875518672199,0.824264705882353,0.83519801980198,0.856062450956517,0.870010235414534,0.867672723539678,0.829524228294066,0.826086956521739,0.884976519124218,0.850077279752705,0.853018372703412,0.853018372703412,0.908898132704121,0.906114924993644,0.884522397333785,0.9,0.937813545150502,0.966666666666667,0.961538461538462,0.961538461538462,0.982603222557905,0.969411277650756,0.95,0.983333333333333,0.982603222557905,1.01503731231456,1.02522185894442,0.999818253739162,1.02677078334715,0.961936912799628,1,0.974277530936731,0.975103734439834,0.995287610619469,0.996612688553682,1.0054844606947,1.02272727272727,1.04311543810848,1.07223729998834,1.0836820083682,1.09802508727775,1.09058217238645,1.12589559877175,1.13524185587364,1.05555555555556,1.059906291834,1.17857142857143,1.06349206349206,1.12139281507656,1.05418138987044,1.12706616726863,1.19261477045908,1.22341439336924,1.27000923983618,1.21683279032525,1.22036384976526,1.19047619047619,1.23239436619718,1.33539094650206,1.30796919049537,1.30796919049537,1.40692640692641,1.3654503990878,1.27797208458823,1.25074449076831,1.27593088875209,1.31778325123153,1.3098373223635,1.29705083091232,1.3098373223635,1.31944444444444,1.30824607329843,1.36195595088517,1.4175506268081,1.39734875880307,1.36777288047705,1.3342566943675,1.31979695431472
"Maryvale","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.868351252572564,0.872031702025072,0.812577620466965,0.822610294117647,0.823305889803673,0.856745899324897,0.820139328689044,0.862663906142167,0.920099371625058,0.937785749454878,0.942460317460317,0.919734808148123
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49985608363268,1.4433235127816,1.40571039447444,1.36587078651685,1.28511235955056,1.27578718783931,1.22526027786661,1.23261205564142,1.23778501628665,1.24864277958741,1.38603696098563,1.42989658825834,1.30669546436285,1.54004106776181,1.49789325842697,1.54220779220779
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.90640993239401,5.03769486327626,5.06478209658422,5.03197442046363,5.02535485282098,5.06913371759219,5.15873015873016,5.1844297127316,5.29229711141678,5.30546623794212,5.31611073112343,5.35714285714286,5.40679711637487,5.37508530172246,5.32994923857868,5.29986052998605,5.27240773286468,5.30332749329282,5.35498810171594,5.35498810171594,5.33139534883721,5.32945736434108,5.24500133832976,5.23298043419995,5.28005464480874,5.34368527014732,5.37525354969574,5.37525354969574,5.37542662116041,5.3866203301477,5.3968253968254,5.3639846743295,5.37525354969574,5.22700306001374,5.22307692307692,5.13513513513514,5.14117501609348,5.19147061721526,5,5.21028751958784,5.23166368515206,5.24193548387097,5.27410350221547,5.22388059701493,5.24433849821216,5.2412168681537,5.1778767283806,5.15611614923345,5.17272833586715,5.17380759902991,5.12047650655102,5.15873015873016,4.89676027068791,4.83939904915806,4.98578673230849,5,5.02115480338477,4.97262501491825,4.93467397928093,4.9925688572289
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.72589792060491,4.89729222004329,4.80731824747232,4.76713989680228,4.73833097595474,4.78037912450369,4.77272727272727,4.84615384615385,5,5.14435968863086,5.31474688187821,5.21496815286624,5.10625737898465,5.1,5.16124871001032,5.16163793103448,5.18345108594071,5.22596136931358,5.28913963328632,5.30289445672644,5.29071409696848,5.37280701754386,5.36130859808931,5.34591194968553,5.27027027027027,5.21183190252008,5.21201413427562,5.22193211488251,5.21023765996344,5.22905759162304,5.23521845098393,5.26315789473684,5.21936459909228,5.19457547169811,5.09118541033435,5.10625737898465,5.1301267281106,5.08228024930153,4.89193083573487,5.15806988352745,5.17241379310345,5.21496815286624,5.25615435795077,5.35348113895655,5.28301886792453,5.3177691309987,5.25615435795077,5.21512385919166,5.19480519480519,5.25438596491228,5.18518518518519,5.11730205278592,4.78813989922513,4.69925154109949,4.79166666666667,4.78458000012568,4.83333333333333,4.86658932714617,4.79452054794521,4.78947368421053
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",6,,,,,,,,,,,,,,,,,,,0.649212430821626,0.664715719063545,0.653782894736842,0.648148148148148,0.645756457564576,0.652400835073069,0.664741525248772,0.6640625,0.660569105691057,0.66735112936345,0.664767331433998,0.663801337153773,0.66735112936345,0.658333333333333,0.648811786164897,0.658333333333333,0.65217577687945,0.661197916666667,0.66735112936345,0.664767331433998,0.665399239543726,0.664608451680695,0.663817663817664,0.651444547996272,0.655594405594406,0.648777782560515,0.645510018889589,0.646551724137931,0.636574074074074,0.651215342813206,0.66344652395377,0.661936753890777,0.661696178937558,0.654349499615088,0.662535748331745,0.642601148376302,0.643518518518518,0.663176706074704,0.666324435318275,0.666324435318275,0.666324435318275,0.676802623344832,0.689002283664701,0.704592901878914,0.704592901878914,0.685516233441423,0.673258231397766,0.698249014395526,0.713552361396304,0.731605351170569,0.730688935281837,0.712250712250712,0.714921652421652,0.714966634890372,0.730536454285326,0.719729043183743,0.738626102776421,0.718685831622177,0.733394833948339,0.702511968180836,0.757750896971263,0.719729043183743,0.71611909650924,0.721153846153846,0.728021978021978,0.747065101387407,0.754612546125461,0.757864632983794,0.791433891992551,0.795001133140585,0.795687885010267,0.815217391304348,0.832885785893305,0.823970037453184,0.808977035490605,0.810295519542421,0.809151785714286,0.809581110337895,0.810222885752202,0.810185185185185,0.842696629213483,0.872689938398357,0.877926421404682,0.886143931256713,0.875232774674115,0.868055555555556
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",7,,,,,,,,,,,,0.800323822447763,0.812274368231047,0.82046332046332,0.797195174528801,0.806184782706557,0.796178343949045,0.79337899543379,0.79337899543379,0.822349851027129,0.804225075556758,0.79656862745098,0.802997858672377,0.807537012113055,0.802139954977214,0.798319327731092,0.800854472812851,0.815217391304348,0.805195022484742,0.8,0.79656862745098,0.795334040296925,0.8,0.781350171820026,0.770934641964524,0.75801749271137,0.781494293308318,0.790921595598349,0.795363709032774,0.805532799027223,0.802997858672377,0.80042689434365,0.81004554364824,0.821720709552472,0.827814569536424,0.821428571428571,0.818094321462945,0.815217391304348,0.808133472367049,0.810363836824697,0.815217391304348,0.82579806312769,0.821995464852608,0.820135746606335,0.830350907937115,0.827814569536424,0.83287598007912,0.81799591002045,0.820135746606335,0.838927224158101,0.850340136054422,0.84841628959276,0.858844182556944,0.868265407743593,0.874128232803354,0.883002207505519,0.87136602593123,0.874485596707819,0.881926160887315,0.871509664008315,0.873576497585523,0.877181949871935,0.890158853157691,0.8915770609319,0.903342366757001,0.893130043758383,0.927248677248677,0.925147182506308,0.923913043478261,0.938303341902314,0.910663979735568,0.885499712200705,0.863386374113986,0.901183020180933,0.894495412844037,0.91792656587473,0.931414055884843,0.971093044263776,0.997398091934085,1,1.01244343891403,1.00685518423308,1.01988467984723,1.03373702422145,1.04166666666667,1.03571428571429,1.04166666666667,1.0485651214128,1.06405775075988,1.07066381156317,1.07642626480086,1.09114249037227,1.0778086806323,1.09008536998798
"Paradise Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1450417212606,1.10036832412523,1.13725908698383,1.20675784392599,1.15445859872611,1.16518436785695,1.13636363636364,1.17647058823529,1.15532734274711,1.17221798121795,1.19146722164412,1.20588235294118,1.04538087520259,1.05024509803922,1.05882352941176,1.15306085442808,1.04019121813031,1.13211326754247,1.10481586402266,1.00321027287319,1.08875873165372,1.14072906723724,1.13851992409867,1.14302461899179,1.15441176470588,1.15224652759193,1.15906288532676,1.17647058823529,1.17647058823529,1.17959620146947,1.16887853285209,1.183970856102,1.20585501858736,1.19036935575288,1.2039555802784,1.23384253819036,1.26008064516129,1.25131995776135,1.22540983606557,1.20898100172712,1.20898100172712
"Deer Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa",9,,,,,,,,,,,,,,,,,0.793836450339927,0.776778413736713,0.775855514145985,0.771916214119472,0.769769069279216,0.794889690631273,0.820771783257299,0.77271710596807,0.785839160839161,0.762820512820513,0.754884547069272,0.746695961492617,0.758928571428571,0.756172839506173,0.746882793017456,0.738798856053384,0.750294495398386,0.756172839506173,0.744202195906582,0.762631077216397,0.759215004396935,0.779678068410463,0.784708398002564,0.788510213143872,0.801068090787717,0.815032018387083,0.860091743119266,0.853405485054009,0.814685314685315,0.791241496598639,0.801068090787717,0.816098922511562,0.802319759679573,0.804200201207244,0.791263213030795,0.826851554135356,0.814905814905815,0.823723228995058,0.832702975289965,0.804828973843058,0.804828973843058,0.803968891066607,0.810539012358128,0.80959634872929,0.782924107142857,0.834459459459459,0.85513078470825,0.851953186656327,0.872617853560682,0.895368782161235,0.895368782161235,0.904219691895512,0.916881601572095,0.872617853560682,0.895368782161235,0.905797101449275,0.909117291159545,0.905797101449275,0.887302918140733,0.899621212121212,0.900402414486921,0.900900900900901,0.927143853219282,0.944108761329305,0.91377694470478,0.951338125620603,0.891949334537806,0.89974293059126,0.945186672069418,1.00524475524476,0.957033869885983,0.979792161662707,0.982800982800983,1.01419886812098,0.99802160161898,0.995833333333333,0.995833333333333,0.950490719326336,1.00871431118356,0.981082077825,0.980896433835825,1.04806408544726,1.04806408544726,1.04102917176663,1.00685518423308,1.02222222222222,1.02399314481577,1.05623100303951
"North Mountain","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa",10,,,,,,,,,,,0.774029574861368,0.774021630407602,0.743730461369336,0.752415458937198,0.773533794622094,0.737037037037037,0.724982668409988,0.770111989870054,0.770111989870054,0.764014998654829,0.770712909441233,0.749581239530988,0.741029641185647,0.741029641185647,0.745890195968199,0.741029641185647,0.753657471755943,0.75682713963964,0.762469664595946,0.782133536320139,0.735640367258014,0.747516556291391,0.747340425531915,0.726010101010101,0.746666666666667,0.758445945945946,0.753012048192771,0.743333333333333,0.745763045102434,0.767374517374517,0.773993808049536,0.78037803780378,0.826302729528536,0.819092157165296,0.815869223376619,0.797875541646606,0.785582255083179,0.758010851760852,0.794996097935213,0.800946220464022,0.808846015470408,0.86258210180624,0.861723585322723,0.866668347000045,0.818452380952381,0.818452380952381,0.839091806515301,0.839006882989184,0.824159021406728,0.806444301015782,0.842222222222222,0.867052023121387,0.915221579961464,0.93503937007874,0.934139784946237,0.913383916246769,0.909552845528455,0.90702947845805,0.878684807256236,0.864140480591497,0.878856775308691,0.87573385518591,0.901938265635074,0.931655725747629,0.961538461538462,0.899621212121212,0.916372202591284,0.921246709630571,0.915221579961464,0.934139784946237,0.916372202591284,0.917476289187082,0.912834670577747,0.915796891276374,0.953567266067266,0.921212121212121,0.965686274509804,0.97508240132969,0.963612368024133,0.957742914979757,0.987215909090909,0.984251968503937,0.966714104996838,0.963391136801541,1.01182432432432,1.04477611940298,1.04379310909776,1.06741573033708,1.09548630025057,1.10256969542307,1.11940298507463,1.09624670763828,1.05876865671642,1.04184046854497
