RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
274772,Northeast Dallas,Texas,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296600,304500,308300,297400,300400,297200,306500,301500,300500,303800,308500,315100,317200,315700,314800,339100,371400,370400,362900,347200,353100,346e3,328400,326900,333e3,345900,349600,345400,348500,355300,364200,372500,373800,369700,364e3,369200,372e3,380300,381600,374900,372600,373300,387200,386600,389100,392100,398700,398500,396100,395200,402500,408400,413300,414300,410800,411700,415300,416300,416200,415400,421800,417700,422800,406400,425400,417300,428900,416700,425300,444300,452400,448800,445700,
192689,Paradise,Nevada,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320400,323700,329500,332300,326600,318e3,311500,312100,332200,336900,339e3,336500,325700,326900,315700,329100,329400,333200,336e3,340800,340900,342900,334800,342300,326200,336500,331600,348300,352100,354800,357100,353700,361900,358400,36e4,361700,374500,385900,390100,388800,394e3,387300,389100,
270958,Upper West Side,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1188700,1179400,1075500,1141100,1179600,1236500,1154e3,1117400,1099100,1174700,1304200,1360400,133e4,1194700,1126700,1149e3,1207500,1219400,116e4,1175500,1130300,1168700,1042100,1197300,1142200,1241200,1108800,1222200,1197800,1245900,1154e3,1099700,1113e3,1133100,1186300,1185200,1273700,1292200,1279700,118e4,1249100,1283100,1293600,1237200,1300100,1307900,1301600,1235300,1230900,1200900,1282400,1341600,1401800,1301600,1357600,1397600,1469800,1400100,1418600,1619200,1653700,1633600,1428700,1417100,1319500,1301500,1262e3,1310100,1248600,1331400,1345300,1516800,1434700,1418700,1315500,1281100,1297800,1284800,1328900,1326900,1312400,1324200,1340700,1448300,1498900,1483500,1391600,1330700,1405200,1411600,1435e3,1383600,1563500,1529800
112547,Paradise Valley,Arizona,4,471500,43e4,425600,407200,396e3,373200,352200,348e3,345900,349100,348300,334100,319500,307700,312400,305900,307200,304300,310200,298400,300600,303600,318900,313600,308600,294400,295100,290900,289300,286800,289600,289900,292100,297500,299800,298900,290600,296300,284600,278700,261900,265600,262600,266700,282400,295400,301400,289200,290800,293800,296700,299100,300700,307500,309500,311900,316100,320500,321600,320900,318200,328700,336400,342200,344200,357500,363e3,367800,365900,365900,366700,371600,375500,375e3,363700,362500,360700,365800,361400,373600,371500,376700,368500,38e4,377e3,378100,374400,377700,384900,389200,391900,389200,431300,435100,44e4,394100,423800,422700,423900,391500,390100,389400,393500,392e3,409200,406100,411900,397e3,413500,410700,417700,405700,407300,399500,411600,407300,423300,422900,44e4,432700,435400,431200,435100,428400,435400,437400,436800
267955,North Mountain,Arizona,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360300,361400,355800,352600,356900,370100,359300,361200,347700,398800,409600,420900,378800,385400,385500,411700,398600,412200,432300,452400,460400,412200,399800,392100,404800,408400,395300,394700,448300,449300,444900,391200,393300,399900,408100,407100,419e3,417300,426700,422900,402600,397600,404400,416900,427e3,414100,459900,458900,463800,448300
273698,Far North,Texas,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318900,317300,330600,325300,326200,323500,335300,332400,346400,339200,335300,326600,341e3,351700,352300,355700,361900,362500,352e3,362900,370900,384900,376500,374700,376100,373600,383e3,387400,391800,371900,378900,383800,399500,397500,401700,412200,404900,407100,395700,399200,394100,409500,412e3,411300,409400,416800,423200,429300,431400,434700,433100,430600,429900,423700,435e3,456200,466500,459800,438600,443400,445500,464200,460900,
199001,Williamsburg,New York,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1283100,1254700,948e3,1014700,1057100,1038e3,960200,946200,923200,94e4,953800,957500,962200,1000900,1044900,1031500,1054600,1042800,1115100,1012500,980300,929e3,998100,1028300,1184100,1180300,1150100,973500,982e3,1001500,1021100,968400,1044200,1074100,1107300,1063200
273566,East Side,Texas,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203500,203700,191200,184800,181200,187800,191900,188e3,177e3,184400,209900,227700,235900,221700,204800,209100,201700,200500,185600,193400,198e3,196700,190700,192e3,194e3,211600,214e3,207200,186700,176700,177500,178600,183200,183300,185900,186500,206500,206500,204e3,185700,185400,186700,188100,188700,195e3,193600,195100,188200,187800,187800,188e3,188700,191900,196e3,195900,193500,191200,189700,185900,187700,186600,185700,174700,175400,185100,197400,193100,180700,177e3,181e3,185600,198800,198500,217e3,207700,206300,188400,185100,193400,192100,197100,195600,199800,205300,211800,217500,208600,197500
35521,Enterprise,Nevada,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381500,354200,372800,37e4,387200,383400,383700,354700,338e3,334400,341300,344800,349900,361500,359600,371500,372600,389400,389300,389900,393600,391500,394900,399200,423e3,,,,,,,
274742,North Scottsdale,Arizona,10,,,,,,,,,,,,,,,,,,,454200,447200,428200,444600,463600,504400,490100,474e3,446500,457200,448600,445400,441300,438200,431800,424100,436400,444600,435100,429300,438900,435700,437e3,422100,426400,412900,418600,432100,446600,458500,454e3,449700,448700,447300,45e4,444300,448600,456600,445500,462600,472600,504700,497700,505500,507500,517200,516500,516600,513300,523400,527600,529900,525600,516900,543400,570700,575300,614400,582200,58e4,505400,504300,504400,520500,526500,518900,516200,545200,547300,543500,525700,535500,546200,531800,535900,533100,540400,546600,544500,547300,545500,550700,549100,538200,544600,550400,553200,547100,548300,562500,580300,583600,584500,581e3,587e3,599800,606100,584400,580600,584e3,606900,598700,595100,612700,628300,635200,614100,617300,604100
273555,East Memphis-Colonial-Yorkshire,Tennessee,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238400,242600,236900,242200,245200,258800,269200,267200,252400,235300,240700,248600,251900,260600,263300,267100,243200,238e3,231e3,244200,247800,257300,258200,253300,252100,247400,249100,249900,250600,274100,280900,283700,263900,261300,259300,252200,251500,258700,265500,261400,262300,258500,255800,252400,254600,262e3,263e3,271100,276400,273900,273100,279100,272900,281600,272e3,291400,273300,275500,272600,292400,299900,295100,289500,291600
276652,West San Jose,California,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1552100,16e5,1635500,1642100,1629100,1621100,1558300,1537700,1563200,1653600,1658400,1641200,1662400,1671200,1688600,1710200,1737800,1761600,173e4,1795300,1805500,1877400,1962200,1996100,2134600,2098e3,2220600,2078500,2035300
275454,South Scottsdale,Arizona,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372100,371800,375700,370200,369700,377500,380200,387800,381600,39e4,393400,394600,388200,389500,442100,464800,471700,420400,412900,406100,403200,408800,411100,424600,410500,414800,421700,425800,435900,433700,437700,450300,455e3,461900,435900,431e3,420400,429100,440400,451600,539e3
118987,Willow Glen,California,14,,,,,,,,,,,,,,,,,935e3,957300,985300,995200,967200,978800,956900,94e4,980600,972500,1003400,948500,997900,1026100,1044600,1026200,967400,972200,984900,1020800,976500,914800,892500,924900,953100,950300,921800,973700,972900,1038300,986500,975700,921500,919400,945100,924600,1006800,1063100,1116300,1088700,1081e3,1125e3,1150600,1176800,1156e3,1178400,1174400,1191800,1201500,1219e3,1238800,1235700,1249500,1298100,1316500,1320400,1261200,1238500,1235600,1276500,1304800,1318600,1305800,1308300,1343700,1360700,1401400,1417800,1439200,1438900,1461300,1452500,1466200,1523700,1577700,1596200,1533400,1542800,1541500,1568700,1584e3,1611600,1602400,1594900,1595300,1587800,1543600,1554500,1570700,1596100,1577700,1565500,1596800,1620800,1680600,1673800,1664400,1692600,1739e3,1803700,1859800,1893800,1971700,2019400,2003e3,2010200,1967400,2000800,1978700,2108500,
271511,Northwest,Texas,15,237300,243800,248900,243300,226400,226900,235400,243100,245300,238900,241300,237800,239700,242300,24e4,232500,221700,215600,214700,208700,212400,217700,234300,232300,231500,229500,239600,228900,215400,211e3,239400,250700,248400,226200,228400,242800,242800,234900,228800,235900,236900,230500,238100,23e4,231600,216900,235700,241e3,247400,242300,239500,219200,219800,208400,220900,205600,221700,223700,241200,224800,226900,234900,246400,246800,241100,228400,232900,230500,228300,213400,216100,214500,215600,203500,210700,217800,223800,235100,230700,213800,207e3,208300,211600,212900,220200,221e3,213200,214300,225100,226900,218400,216900,217500,231400,239900,250600,246e3,238400,229500,222500,221800,216900,221600,229400,243e3,243500,234600,232800,231100,241900,239800,238e3,225800,235900,239500,246800,236100,233200,238e3,23e4,233900,233600,242800,245500,240300,248200,248500
274514,Mid City,California,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712300,704100,738500,720200,712400,715100,759600,812100,802100,794300,779600,816100,839700,862400,818300,852400,834100,882700,853600,840500,830800,871600,928700,899500,889500,886900,949700,937300,947600,932900,981100,1090200,1090900,1058800,973e3,990800,1010900,1006400,994300,993200,995400,1036900,1040100,1042300,1101800,1259300,1233300,1171500,1025700,1035100,1075200,1015700,1059400,998700,1078800,1085200,1162100,1197500,1204200,1174700,1168400,1178300,1208100,1175300,1130900,1125500,1187900,1288100,1303500,1310100,1276e3,1227300,1208700,1194800,1270700,1258600
269592,Logan Square,Illinois,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373700,344600,333800,340100,378100,373700,347200,324500,330200,337400,359800,367600,364500,331200,317700,318600,329700,349300,380400,415400,411400,394900,364300,340200,323100,342600,363300,365200,364100,359200,369900,377100,384700,382100,388100,403100,423300,411e3,404800,399500,403300,404500,409500,405400,402100,398700,396700,396500,398300,422e3,442400,442700,428400,418e3,411e3,409800,415800,416400,420100,412100,447200,434400,433700,409400,421800,429e3,438800,437100,451200
275090,Preston Hollow,Texas,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368600,383800,329100,329800,314700,342400,340600,359900,331700,351500,352100,395e3,392400,382700,364200,337e3,328600,328900,345600,344200,340700,343e3,344e3,349100,351100,363100,369100,375200,385300,402100,409100,405300,387900,366100,371900,374100,382900,387700,404400,439600,452300,442400,408800,407100,416300,423800,413600,402700,405200,413600,413800,413200,406200,392300,407700,419300,453300,452400,460800,466400,471700,469800,459800,456600,466700,449600,459400,46e4,487600,484800,485200,482500,492200,
15046,Alafaya,Florida,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261500,263800,264100,260100,262800,265100,266600,269200,281300,284100,281100,270200,269200,270100,272e3,279600,282500,280500,281600,280800,287100,286700,287700,290400,292700,297900,298400,302400,305200,307e3,310100,308900,313200,316200,325400,331e3,325900,318600,311400,314200,322300,326900,332400,33e4,333300,333100,337e3,338600,340100,339100
267900,Ahwatukee Foothills,Arizona,20,,,,,,,,,,,,,,,,,,,,,,,,,,,331200,334700,311100,314800,310800,312400,300900,29e4,294e3,286100,287600,296200,296700,298200,284700,281600,285800,283800,286500,275100,280200,285100,291300,298600,298400,305900,300900,304200,307300,317800,323e3,309800,315900,328700,340500,335e3,328100,334400,338800,337600,350900,346100,353700,351700,361400,359e3,353300,349200,361400,356500,360600,352600,359600,366200,354700,354400,349300,366500,361300,368600,364e3,369200,368300,377800,376e3,369300,359800,359100,356400,359100,371500,387100,384400,379400,376300,390200,387900,394e3,397400,399300,397400,388500,392900,388300,398500,400300,398800,388e3,379900,385800,396300,415400,419e3,415700,406300,407900,404200,415e3,406700,409100,405200
275950,West,Texas,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277200,292400,289300,274800,283800,282100,285100,275300,271100,267400,270500,287e3,296900,298500,283800,292200,286e3,304900,319500,326800,351600,329200,342600,317400,317100,302500,303900,310500,316700,314300,319e3,339900,334700,346900,329900,337400,340900,348800,376100,370800,379300,384400,391900,378600,347800,347500,362300,372900,354400,352600,357800,376100,
48570,Woodland Hills,California,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,911700,911800,896900,886e3,906100,927300,930300,907900,904200,895300,911200,899700,931e3,95e4,974100,953700,983400,996300,1012600,980600,987500,1036e3,1063600,1048900,1035300,1056500,1067200,1082600,1057700,1076900,1066200,
27080,Sherman Oaks,California,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1125700,1108e3,1128600,1150500,1172300,1181600,1188e3,1217e3,1172900,1261300,1249100,1279200,1209e3,1229e3,1236200,1252600,1206400,1245e3,1223e3,1272200,1272e3,1357900,1358100,1375200,1364e3,1365200,1401e3,1441100,1374100
270318,North Raleigh,North Carolina,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407200,399800,385900,384400,393600,411600,413e3,412700,409800,407800,414400,410300,416200,414800,411800,418900,428e3,439900,428600,424e3,429e3,434600,441900,427500,420400,416500,427400
273348,Cordova-Appling,Tennessee,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203200,198600,196e3,194e3,198100,197700,199800,196200,198100,193200,196300,199500,221100,226300,223900,213e3,211600,215e3,215200,219400,220900,220400,216800,214400,21e4,224100,228400,230500,236200,242200,240500,221100,205800,208800,209600,223800,225300,230700,229e3,238e3,239600,235800
343868,Northwest Raleigh,North Carolina,26,382300,383800,370700,378500,384300,377500,371800,354900,386e3,422600,429600,427400,374300,384100,358800,397900,373900,385400,358500,356300,342900,352100,360400,375400,365800,351300,343500,339500,342100,345e3,365900,378700,364800,359800,351900,387100,370800,353200,316400,308700,341900,338500,373300,358700,370400,344700,331100,339500,348400,362e3,360800,351700,350700,332700,327700,346100,356700,366e3,353400,347800,352700,334600,340300,349400,370200,369600,347400,345e3,343400,354400,353100,362300,359600,374900,368200,370900,359200,375100,389400,412900,402100,394200,368e3,379200,381400,386700,379700,374800,383900,396600,397300,385800,385700,382600,399900,389500,385400,370600,381600,394400,4e5,382100,383300,384400,404500,438300,440500,441e3,411400,424900,429500,425900,413e3,408300,435300,450700,444700,436e3,426600,456200,452100,468300,460100,462500,458600,439200,432700
403169,West Rogers Park,Illinois,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361700,361700,436700,439800,420900,354e3,347300,334300,331700,340700,338e3,366900,353400,374500,363600,359900,371200,359900,377700,385300,419200,413300,380900,343600,390900,413900,420700,388500,455300,468300,508700,534600,519900,473200,389600,395900,404500,382800,371900,372800,375600,403600,456400,470100,465900,412500,388900,365800,353600,374600,378600,393700
232166,Clear Lake,Texas,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285500,281e3,299100,306500,326500,303700,313900,321400,321200,311900,300100,317600,330600,326600,313300,293200,300900,316700,332800,324900,314600,312800,310300,321e3,319e3,33e4,316100,311400,300800,313200,340300,341900,348200,344600,368900,418100,420800,415900,347500,329900,318300,331600,328200,330200,320800,316500
246678,Princess Anne,Virginia,29,389800,395300,400100,391200,398100,377100,364400,348800,375700,380600,382400,368800,382600,382100,381500,367e3,373700,375700,375100,376700,378100,360700,341800,326500,331600,342700,341700,363e3,369200,377500,375100,381200,379800,363700,365500,358400,354200,328100,338500,344600,373e3,371800,386e3,367400,363200,341800,343400,335400,344400,340600,346400,345700,343300,346600,339400,333200,334500,353100,363300,350300,331200,345300,359300,373700,362700,363900,363800,369800,390200,379100,369600,342400,351600,356e3,356600,352500,347300,343400,344500,339500,343600,344100,354600,352100,351300,338400,339100,342700,348700,344500,345700,345800,351700,350700,354400,365600,371600,373400,355500,354e3,361200,372600,371100,378900,377700,381900,374e3,376600,371500,370300,366700,369100,383700,391100,401300,385700,396400,380200,379100,366100,367800,373600,368800,383100,397e3,412800,407700
274526,Midtown,Tennessee,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268500,270300,285900,279800,281400,277200,363300,355e3,338900,249400,257800,260100,288500,275300,274400,25e4,260700,258600,247e3,249700,256900,266e3,265800,276600,284100,295600,301300,289600,273600,295100,303500,293700,258800,256100,290700,285200,320600,298300,309600,280100,293900
274771,Northeast Colorado Springs,Colorado,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319200,321500,328500,326400,331800,318300,325900,324900,336400,330300,355e3,354800,344500,316800,309100,317900,316400,315e3,313600,308700,311900,306500,307200,309e3,327600,332900,329700,318500,320400,335300,342300,348300,341700,353400,359800,350800,341100,334100,349100,358100,367800,365600,355700,354600,353100,361600,366600,371300,373800,383200,386300,387500,368800,377300,374100,380400,374100,388300,400300,413700,407200,409e3,407400,412100,403400,406300,392400
273860,Gramercy,New York,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765700,764800,757600,727300,781300,837300,814700,779e3,764400,773500,803e3,738900,826100,794200,816500,701800,703400,716500,751200,760200,774600,76e4,771200,711e3,804300,763300,855900,913100,919800,889100,746700,765e3,790900,801900,806e3,808500,816400,844200,839e3,922900,921500,883900,818500,794e3,830700,829100,815400,841e3,836e3,902400,866300,866100,850100,880600,833600,841600,805400,852500,848e3,835700,834200,777300,925400,943400,971500,871e3,856700,860300,892100,891800,924700,845300,1038800,1038700,1082700,924100,958600,1009100,1067100,1023800,1086100
273177,Centennial Hills,Nevada,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264800,257900,278900,288400,305300,290100,298500,290700,293600,299e3,308200,309600,310100,331100,344400,344800,327300,327300,335200,338700,338300,333e3,332e3,347300,338600,347600,341600,353e3,348600,334e3,330600,339700,355e3,355400,351600,344200,350600,340200,343400,351500,352700,363200,364600,365800,365600,369100,376200,376e3,382800,384800,378500,371800,411900,430100,425400,405100,398900,408600,406700,408700,402800,396600,441e3,45e4,465600,436500,445100,446600,435700,437700,419500,
274346,Lone Mountain,Nevada,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237400,242300,253100,258e3,259800,237400,238600,234200,234e3,238100,222300,235700,229600,236700,228600,234500,239500,245600,264700,268600,272100,248200,242800,241500,276e3,298500,297100,269100,264800,263e3,273100,288400,292e3,289200,307700,313300,309e3,273900,276800,288400,293500,304500,307e3,311200,309400,308600,314600,310400,309700,316400,319e3,332600,329400,327300,317400,318e3,320800,322600,330800,330500,339400,328300,331e3,329e3,327900,337500,331900,334200,324700,340700,338400,344600,345600,355500,357100,349900,363900,360500,372400,364400,365600,365800,367500,384e3,388900,395700,397100,388900,398600,404400,402400,
244707,Kempsville,Virginia,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328100,322200,327300,326500,319800,328500,329900,333700,324900,323400,327700,33e4,331e3,340600,340500,353600,341500,355300,349700,350300,364900,345500,348600,330100,349e3,345600,341800,348500,355200,347300
111617,Casas Adobes,Arizona,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269e3,270200,264700,273300,279700,275600,270600,267400,270200,290200,298300,307900,289200,272e3,267700,267600,276400,277200,278900,277200,275300,276200,280500,275500,280700,280700,280200,274800,268700,274400,280600,289200,293100,289700,289700,285300,289600,307600,311400,310900,300700,315400,315e3,345800,333800,335600,295400,295600,312400,318600,322800,305100,300300,297800,298200,317100,313100,328700,318900,336900,339400,336100,337400,328500,329400,324600,313600
274835,Oak Lawn,Texas,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330700,366800,370300,359600,342600,367900,391100,409e3,363200,347e3,334100,356200,364900,387700,380200,393e3,365600,404300,402600,412400,372600,338800,323200,336100,358600,365900,368500,370400,356200,361300,374200,376400,377700,383400,391200,386200,374300,388e3,382300,367500,375800,380500,39e4,375100,390800,400700,417100,401700,403500,385300,389100,392800,400100,397700,386600,395200,402500,411e3,411600,412100,423700,434500,453400,455700,448400,455400,443500,443900,438200,464800,477800,470900,437800,446700,443800,5e5,
118673,University City,California,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707200,700900,687e3,680800,678600,711900,738200,743e3,724400,713800,741100,747800,754600,872500,881300,878600,758300,746400,748100,739300,755400,813900,814700,807200,763600,789e3,810300,815700,787e3,797100,796900,843500,853e3,893200,885600,900400,868900,862100,848100,866800,871400,880300,872300,857100,852800,880800,890300,865700,830200,856300,919100,932500,941e3
267919,Desert View,Arizona,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,302200,298300,297700,302e3,308500,303500,314e3,298300,298500,294800,284400,292400,274600,294200,280900,294e3,279200,287200,279200,288600,288500,288800,291200,294300,307500,315600,313900,316300,334900,354100,352900,339900,329800,342800,341700,343300,341700,350500,358100,357600,362900,367200,385900,379800,383e3,370300,378400,384200,393400,387800,388700,375300,376200,36e4,362300,364500,381700,384700,394e3,391600,396100,388300,386200,396400,392e3,400500,395900,410100,407100,403400,393400,39e4,394300,401400,403800,411500,415500,422900,418900,412700,396400,410400,417e3,439900,430400,436e3,437500,438e3,455700,466300,478500,472200,454700,438200,435600,440300,447400,449500,452100,461500
275492,Southwest,Texas,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257200,263600,267200,267700,267900,268800,277700,278800,276500,265400,262800,27e4,273400,301800,305e3,312500,290200,288800,297600,299100,287900,288500,302600,321300,316400,325200,325200,324300,311500,311800,312400,322600,337600,341900,346500,334e3,353400,344600,343100,334500,340300,371100,377800,382200,346900,337900,353700,377500,384200,393900,383e3,381500,357900
117557,Rancho Penasquitos,California,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588700,580700,567100,545700,556e3,565900,556900,567400,579200,606400,583200,560900,568900,589900,602300,594100,595e3,595400,590600,589900,600800,606700,599e3,593600,617700,635500,640300,633200,636900,647e3,646e3,652e3,659100,668100,673e3,676700,682500,686300,670500,666500,670200,686200,694100,698500,710800,706300,713600,711200,710100,707500,713700,724500,728400,724e3,731800,719900,714700,704100,719700,719700,730200,731600,738900,745700,738500,751500,746100,771300,771900,792900,786400,798500,795e3,796700,804900,802100,819300,803400,800900,800700,808300,846800,854500,870700,865700,854100,846200,830800,853800,873200
275609,Summerlin North,Nevada,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342100,332700,336700,328100,341300,343600,360600,361500,372900,366800,356600,340100,342200,347900,379e3,373300,380400,371800,379500,380200,368300,370900,363900,376800,367e3,375e3,373700,394600,395700,397300,392900,397200,399600,394900,399800,412800,435800,427900,421400,416800,434400,439400,444e3,469500,481400,493900,479e3,449800,421100,
51906,Encino,California,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,990700,968100,942700,931400,963900,999700,1086100,1078100,1063300,994400,1054900,1110700,1283100,1301400,1292700,1163e3,1173200,1189300,1249500,1241800,1224600,1225100,1263600,1302700,1306e3,1159700,1166600,1154400,1285100,1289700,1301900,1332800,1379300,1406700,1410900,1402300,1408400,1383e3,1279600,1281500,1321200,1405100,1374800,1394200,144e4,1501500,1446600,1400200,1361700,1419100,1468e3,1549600,1434500,1434600,1356400,1483300,1478200,1462500,1434200,1494900,1618300,1615600,1592700,1621800,1666e3,1668200,1645900,1665500,1643600,1555100,1553700,1583200
276450,Mid City West,California,44,,,,,,,,,,,,,,,,849500,864700,891500,848500,855200,856300,961e3,978900,970800,9e5,947600,994100,986200,930700,873700,944100,935300,940800,962e3,943800,917900,804e3,877100,835900,858e3,842900,950700,933700,959400,880400,999200,954700,963600,779500,792700,824800,882100,858900,857100,880100,915800,933200,1024900,1057900,990200,979300,1013100,1110800,1105700,1092600,1107400,1069e3,1065100,1101400,1133900,1132800,1109400,1091800,1106600,1140300,1260100,1289200,1257700,1190700,1185400,1216800,1241100,1216700,1176800,1191300,1249400,1358100,1352800,1351400,1353500,1253200,1265400,1282e3,1426e3,1457800,1449600,1430200,1347900,1369700,1345e3,1409600,1405800,1477500,1494500,1460900,1585200,1632300,1727600,1602700,1565300,1495200,1525700,1536700,1621300,1611600,1664900,1529200,1657500,1787100,1940600,1864700,1746400,1676e3,1646900,1666200,1726e3,1761900
